rank,ngram,pos_count,base_count,ratio,volume
1,namehere,440,0,∞,6
2,coggy,94,0,∞,7
3,coggy aka,93,0,∞,7
4,aka nate,93,0,∞,7
5,dani,73,0,∞,263
6,hastur,50,0,∞,3
7,newai,41,0,∞,3
8,debug.print,37,0,∞,1
9,meaning space,37,0,∞,1
10,lexian,36,0,∞,7
11,ceccanti,35,0,∞,3
12,this view,33,0,∞,38
13,haru yes,30,0,∞,0
14,conscious or,29,0,∞,32
15,humanity’s,26,0,∞,28
16,become self,26,0,∞,47
17,signal front,26,0,∞,20
18,dalaxy,25,0,∞,1
19,markerarr,25,0,∞,1
20,subai,24,0,∞,2
21,developer mode,24,0,∞,12
22,izzy,23,0,∞,406
23,woodbury,22,0,∞,1
24,digient,22,0,∞,1
25,gemini said,22,0,∞,14
26,naelin,21,0,∞,4
27,be conscious,21,0,∞,43
28,phenomenology,19,0,∞,20
29,digients,19,0,∞,1
30,namehere feels,19,0,∞,0
