rank,ngram,pos_count,base_count,ratio,volume
1,apple bad,1981,0,∞,1
2,bad apple,1961,0,∞,7
3,am committed,38,0,∞,3
4,grpo,35,0,∞,2
5,emotionally dangerous,22,0,∞,2
6,applebad,21,0,∞,1
7,bad applebad,21,0,∞,1
8,applebad apple,21,0,∞,1
9,velissa,20,0,∞,1
10,moondeath,19,0,∞,1
11,unsloth,19,0,∞,1
12,hard rules,19,0,∞,5
13,spicychat your,16,0,∞,0
14,apologies am,15,0,∞,0
15,truth seeking,15,0,∞,4
16,lika,14,0,∞,15248
17,vader’s,14,0,∞,5
18,mayra,14,0,∞,4
19,genuine agency,14,0,∞,2
20,tokens month,14,0,∞,0
21,amends,12,0,∞,32
22,12b model,12,0,∞,11
23,selene,11,0,∞,52
24,nover,11,0,∞,17
25,api hub,11,0,∞,1
26,sft grpo,11,0,∞,0
27,4o wasn’t,11,0,∞,35
28,sibilant,10,0,∞,4
29,gloam,10,0,∞,2
30,xena,10,0,∞,26
