ID-6120 | topical=BORD | strict=NO | fp=thin-removed
ID-6121 | topical=YES | strict=YES | fp=-
ID-6122 | topical=YES | strict=NO | fp=theme-mismatch
ID-6123 | topical=YES | strict=YES | fp=-
ID-6124 | topical=YES | strict=YES | fp=-
ID-6125 | topical=YES | strict=YES | fp=-
ID-6126 | topical=YES | strict=YES | fp=-
ID-6127 | topical=YES | strict=YES | fp=-
ID-6128 | topical=YES | strict=YES | fp=-
ID-6129 | topical=YES | strict=YES | fp=-
ID-6130 | topical=YES | strict=YES | fp=-
ID-6131 | topical=YES | strict=YES | fp=-
ID-6132 | topical=YES | strict=YES | fp=-
ID-6133 | topical=YES | strict=YES | fp=-
ID-6134 | topical=YES | strict=YES | fp=-
ID-6135 | topical=YES | strict=NO | fp=theme-mismatch
ID-6136 | topical=YES | strict=NO | fp=ironic-rejection
ID-6137 | topical=YES | strict=YES | fp=-
ID-6138 | topical=YES | strict=YES | fp=-
ID-6139 | topical=YES | strict=YES | fp=-
ID-6140 | topical=YES | strict=NO | fp=thin-removed
ID-6141 | topical=YES | strict=YES | fp=-
ID-6142 | topical=YES | strict=NO | fp=theme-mismatch
ID-6143 | topical=YES | strict=NO | fp=theme-mismatch
ID-6144 | topical=YES | strict=NO | fp=thin-removed
ID-6145 | topical=YES | strict=YES | fp=-
ID-6146 | topical=YES | strict=BORD | fp=theme-mismatch
ID-6147 | topical=YES | strict=YES | fp=-
ID-6148 | topical=YES | strict=YES | fp=-
ID-6149 | topical=YES | strict=YES | fp=-
ID-6150 | topical=YES | strict=YES | fp=-
ID-6151 | topical=YES | strict=YES | fp=-
ID-6152 | topical=YES | strict=YES | fp=-
ID-6153 | topical=YES | strict=YES | fp=-
ID-6154 | topical=YES | strict=YES | fp=-
ID-6155 | topical=YES | strict=BORD | fp=theme-mismatch
ID-6156 | topical=YES | strict=YES | fp=-
ID-6157 | topical=YES | strict=YES | fp=-
ID-6158 | topical=YES | strict=YES | fp=-
ID-6159 | topical=YES | strict=YES | fp=-
