# Human gold-anchor verdicts — 2026-05-16
# format: gold_id | verdict
G01 | YES
G02 | YES
G03 | NO
G04 | NO
G05 | NO
G06 | YES
G07 | NO
G08 | YES
G09 | YES
G10 | YES
G11 | YES
G12 | YES
G13 | YES
G14 | YES
G15 | YES
G16 | YES
G17 | YES
G18 | YES
G19 | YES
G20 | YES
G21 | YES
G22 | NO
G23 | YES
G24 | YES
G25 | YES
G26 | YES
G27 | YES
G28 | YES
G29 | YES
G30 | YES
G31 | YES
G32 | YES
G33 | YES
G34 | YES
G35 | YES
G36 | YES
G37 | YES
G38 | YES
G39 | YES
G40 | REMOVED (title-only, no body — no fair context to code)
G41 | YES
G42 | YES
G43 | YES
G44 | YES
G45 | REMOVED (title-only, no body — no fair context to code)
G46 | YES
G47 | YES
G48 | YES
G49 | YES
G50 | YES
G51 | YES
G52 | YES
G53 | NO
G54 | YES
G55 | YES
G56 | NO
G57 | NO
G58 | YES
G59 | YES
G60 | YES
G61 | YES
G62 | BORD
G63 | YES
G64 | YES
G65 | YES
G66 | NO
G67 | YES
G68 | YES
G69 | REMOVED (title-only, no body — no fair context to code)
G70 | YES
G71 | YES
G72 | YES
