CM-0110 | topical=NO | strict=NO | fp=theme-mismatch
CM-0111 | topical=YES | strict=YES | fp=-
CM-0112 | topical=YES | strict=YES | fp=-
CM-0113 | topical=YES | strict=YES | fp=-
CM-0114 | topical=YES | strict=YES | fp=-
CM-0115 | topical=YES | strict=YES | fp=-
CM-0116 | topical=YES | strict=YES | fp=-
CM-0117 | topical=YES | strict=YES | fp=-
CM-0118 | topical=YES | strict=YES | fp=-
CM-0119 | topical=YES | strict=YES | fp=-
CM-0120 | topical=YES | strict=YES | fp=-
CM-0121 | topical=YES | strict=YES | fp=-
CM-0122 | topical=YES | strict=YES | fp=-
CM-0123 | topical=YES | strict=BORD | fp=third-party
CM-0124 | topical=YES | strict=YES | fp=-
CM-0125 | topical=NO | strict=NO | fp=theme-mismatch
CM-0126 | topical=YES | strict=YES | fp=-
CM-0127 | topical=YES | strict=YES | fp=-
CM-0128 | topical=BORD | strict=NO | fp=ambiguous
CM-0129 | topical=YES | strict=YES | fp=-
CM-0130 | topical=NO | strict=NO | fp=non-ai-literal
CM-0131 | topical=YES | strict=YES | fp=-
CM-0132 | topical=YES | strict=YES | fp=-
CM-0133 | topical=NO | strict=NO | fp=theme-mismatch
CM-0134 | topical=NO | strict=NO | fp=theme-mismatch
CM-0135 | topical=YES | strict=YES | fp=-
CM-0136 | topical=YES | strict=YES | fp=-
CM-0137 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0138 | topical=YES | strict=YES | fp=-
CM-0139 | topical=YES | strict=YES | fp=-
CM-0140 | topical=YES | strict=YES | fp=-
CM-0141 | topical=NO | strict=NO | fp=theme-mismatch
CM-0142 | topical=YES | strict=BORD | fp=ambiguous
CM-0143 | topical=YES | strict=BORD | fp=ambiguous
CM-0144 | topical=YES | strict=BORD | fp=ambiguous
CM-0145 | topical=YES | strict=YES | fp=-
CM-0146 | topical=YES | strict=BORD | fp=thin-removed
CM-0147 | topical=YES | strict=YES | fp=-
CM-0148 | topical=YES | strict=YES | fp=-
CM-0149 | topical=YES | strict=BORD | fp=theme-mismatch
