CM-0170 | topical=YES | strict=YES | fp=-
CM-0171 | topical=YES | strict=NO | fp=theme-mismatch
CM-0172 | topical=YES | strict=YES | fp=-
CM-0173 | topical=YES | strict=YES | fp=-
CM-0174 | topical=YES | strict=YES | fp=-
CM-0175 | topical=YES | strict=NO | fp=theme-mismatch
CM-0176 | topical=YES | strict=YES | fp=-
CM-0177 | topical=NO | strict=NO | fp=third-party
CM-0178 | topical=YES | strict=YES | fp=-
CM-0179 | topical=NO | strict=NO | fp=third-party
CM-0180 | topical=YES | strict=YES | fp=-
CM-0181 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0182 | topical=YES | strict=YES | fp=-
CM-0183 | topical=YES | strict=YES | fp=-
CM-0184 | topical=YES | strict=YES | fp=-
CM-0185 | topical=YES | strict=YES | fp=-
CM-0186 | topical=YES | strict=YES | fp=-
CM-0187 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0188 | topical=NO | strict=NO | fp=ironic-rejection
CM-0189 | topical=YES | strict=YES | fp=-
CM-0190 | topical=YES | strict=YES | fp=-
CM-0191 | topical=YES | strict=YES | fp=-
CM-0192 | topical=YES | strict=YES | fp=-
CM-0193 | topical=YES | strict=YES | fp=-
CM-0194 | topical=NO | strict=NO | fp=ironic-rejection
CM-0195 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0196 | topical=YES | strict=YES | fp=-
CM-0197 | topical=YES | strict=YES | fp=-
CM-0198 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0199 | topical=YES | strict=YES | fp=-
CM-0200 | topical=YES | strict=YES | fp=-
CM-0201 | topical=YES | strict=NO | fp=third-party
CM-0202 | topical=YES | strict=YES | fp=-
CM-0203 | topical=YES | strict=YES | fp=-
CM-0204 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0205 | topical=BORD | strict=NO | fp=theme-mismatch
CM-0206 | topical=NO | strict=NO | fp=non-ai-literal
CM-0207 | topical=YES | strict=YES | fp=-
CM-0208 | topical=NO | strict=NO | fp=non-ai-literal
CM-0209 | topical=NO | strict=NO | fp=theme-mismatch
