CM-0210 | topical=YES | strict=BORD | fp=ambiguous
CM-0211 | topical=NO | strict=NO | fp=ironic-rejection
CM-0212 | topical=NO | strict=NO | fp=theme-mismatch
CM-0213 | topical=NO | strict=NO | fp=theme-mismatch
CM-0214 | topical=NO | strict=NO | fp=wrong-referent
CM-0215 | topical=YES | strict=BORD | fp=rp-internal
CM-0216 | topical=NO | strict=NO | fp=ironic-rejection
CM-0217 | topical=YES | strict=YES | fp=-
CM-0218 | topical=NO | strict=NO | fp=non-ai-literal
CM-0219 | topical=BORD | strict=NO | fp=thin-removed
CM-0220 | topical=NO | strict=NO | fp=theme-mismatch
CM-0221 | topical=YES | strict=YES | fp=-
CM-0222 | topical=NO | strict=NO | fp=wrong-referent
CM-0223 | topical=YES | strict=YES | fp=-
CM-0224 | topical=NO | strict=NO | fp=ironic-rejection
CM-0225 | topical=YES | strict=BORD | fp=third-party
CM-0226 | topical=YES | strict=YES | fp=-
CM-0227 | topical=NO | strict=NO | fp=bot-card
CM-0228 | topical=YES | strict=YES | fp=-
CM-0229 | topical=YES | strict=BORD | fp=third-party
