CM-0001 | topical=YES | strict=YES | fp=-
CM-0002 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0003 | topical=YES | strict=YES | fp=-
CM-0004 | topical=NO | strict=NO | fp=theme-mismatch
CM-0005 | topical=YES | strict=YES | fp=-
CM-0006 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0007 | topical=YES | strict=YES | fp=-
CM-0008 | topical=YES | strict=YES | fp=-
CM-0009 | topical=YES | strict=YES | fp=-
CM-0010 | topical=YES | strict=YES | fp=-
CM-0011 | topical=YES | strict=BORD | fp=ambiguous
CM-0012 | topical=YES | strict=YES | fp=-
CM-0013 | topical=YES | strict=YES | fp=-
CM-0014 | topical=YES | strict=YES | fp=-
CM-0015 | topical=YES | strict=YES | fp=-
CM-0016 | topical=NO | strict=NO | fp=theme-mismatch
CM-0017 | topical=YES | strict=YES | fp=-
CM-0018 | topical=YES | strict=BORD | fp=theme-mismatch
CM-0019 | topical=YES | strict=YES | fp=-
CM-0020 | topical=YES | strict=YES | fp=-
CM-0021 | topical=YES | strict=YES | fp=-
CM-0022 | topical=YES | strict=YES | fp=-
CM-0023 | topical=YES | strict=YES | fp=-
CM-0024 | topical=YES | strict=YES | fp=-
CM-0025 | topical=YES | strict=YES | fp=-
CM-0026 | topical=NO | strict=NO | fp=theme-mismatch
CM-0027 | topical=YES | strict=YES | fp=-
CM-0028 | topical=NO | strict=NO | fp=theme-mismatch
CM-0029 | topical=YES | strict=YES | fp=-
CM-0030 | topical=YES | strict=BORD | fp=ironic-rejection
CM-0031 | topical=NO | strict=NO | fp=theme-mismatch
CM-0032 | topical=YES | strict=YES | fp=-
CM-0033 | topical=YES | strict=YES | fp=-
CM-0034 | topical=YES | strict=YES | fp=-
CM-0035 | topical=YES | strict=YES | fp=-
CM-0036 | topical=YES | strict=YES | fp=-
CM-0037 | topical=YES | strict=YES | fp=-
CM-0038 | topical=NO | strict=NO | fp=theme-mismatch
CM-0039 | topical=YES | strict=YES | fp=-
CM-0040 | topical=YES | strict=YES | fp=-
