ID-3041 | topical=YES | strict=YES | fp=-
ID-3042 | topical=YES | strict=NO | fp=thin-removed
ID-3043 | topical=YES | strict=NO | fp=thin-removed
ID-3044 | topical=YES | strict=YES | fp=-
ID-3045 | topical=YES | strict=YES | fp=-
ID-3046 | topical=YES | strict=YES | fp=-
ID-3047 | topical=YES | strict=YES | fp=-
ID-3048 | topical=YES | strict=YES | fp=-
ID-3049 | topical=NO | strict=NO | fp=rp-internal
ID-3050 | topical=NO | strict=NO | fp=theme-mismatch
ID-3051 | topical=NO | strict=NO | fp=third-party
ID-3052 | topical=YES | strict=YES | fp=-
ID-3053 | topical=YES | strict=YES | fp=-
ID-3054 | topical=YES | strict=YES | fp=-
ID-3055 | topical=YES | strict=BORD | fp=ambiguous
ID-3056 | topical=YES | strict=YES | fp=-
ID-3057 | topical=YES | strict=YES | fp=-
ID-3058 | topical=YES | strict=YES | fp=-
ID-3059 | topical=YES | strict=NO | fp=theme-mismatch
ID-3060 | topical=YES | strict=YES | fp=-
ID-3061 | topical=YES | strict=NO | fp=thin-removed
ID-3062 | topical=NO | strict=NO | fp=non-ai-literal
ID-3063 | topical=NO | strict=NO | fp=theme-mismatch
ID-3064 | topical=YES | strict=YES | fp=-
ID-3065 | topical=YES | strict=YES | fp=-
ID-3066 | topical=YES | strict=NO | fp=thin-removed
ID-3067 | topical=YES | strict=YES | fp=-
ID-3068 | topical=YES | strict=YES | fp=-
ID-3069 | topical=YES | strict=YES | fp=-
ID-3070 | topical=YES | strict=NO | fp=thin-removed
ID-3071 | topical=YES | strict=NO | fp=theme-mismatch
ID-3072 | topical=YES | strict=YES | fp=-
ID-3073 | topical=YES | strict=YES | fp=-
ID-3074 | topical=YES | strict=YES | fp=-
ID-3075 | topical=YES | strict=YES | fp=-
ID-3076 | topical=YES | strict=YES | fp=-
ID-3077 | topical=YES | strict=YES | fp=-
ID-3078 | topical=YES | strict=YES | fp=-
ID-3079 | topical=YES | strict=YES | fp=-
ID-3080 | topical=NO | strict=NO | fp=theme-mismatch
