ID-3081 | topical=NO | strict=NO | fp=theme-mismatch
ID-3082 | topical=YES | strict=YES | fp=-
ID-3083 | topical=YES | strict=YES | fp=-
ID-3084 | topical=YES | strict=NO | fp=thin-removed
ID-3085 | topical=YES | strict=YES | fp=-
ID-3086 | topical=NO | strict=NO | fp=ambiguous
ID-3087 | topical=YES | strict=YES | fp=-
ID-3088 | topical=YES | strict=YES | fp=-
ID-3089 | topical=NO | strict=NO | fp=theme-mismatch
ID-3090 | topical=YES | strict=NO | fp=thin-removed
ID-3091 | topical=YES | strict=YES | fp=-
ID-3092 | topical=YES | strict=YES | fp=-
ID-3093 | topical=NO | strict=NO | fp=theme-mismatch
ID-3094 | topical=BORD | strict=NO | fp=ambiguous
ID-3095 | topical=NO | strict=NO | fp=theme-mismatch
ID-3096 | topical=YES | strict=YES | fp=-
ID-3097 | topical=YES | strict=YES | fp=-
ID-3098 | topical=YES | strict=YES | fp=-
ID-3099 | topical=NO | strict=NO | fp=theme-mismatch
ID-3100 | topical=YES | strict=NO | fp=thin-removed
