ID-3201 | topical=YES | strict=NO | fp=thin-removed
ID-3202 | topical=NO | strict=NO | fp=theme-mismatch
ID-3203 | topical=BORD | strict=NO | fp=theme-mismatch
ID-3204 | topical=NO | strict=NO | fp=non-ai-literal
ID-3205 | topical=YES | strict=YES | fp=-
ID-3206 | topical=NO | strict=NO | fp=third-party
ID-3207 | topical=YES | strict=YES | fp=-
ID-3208 | topical=YES | strict=YES | fp=-
ID-3209 | topical=YES | strict=YES | fp=-
ID-3210 | topical=BORD | strict=NO | fp=theme-mismatch
ID-3211 | topical=NO | strict=NO | fp=non-ai-literal
ID-3212 | topical=NO | strict=NO | fp=theme-mismatch
ID-3213 | topical=NO | strict=NO | fp=theme-mismatch
ID-3214 | topical=YES | strict=YES | fp=-
ID-3215 | topical=YES | strict=BORD | fp=ambiguous
ID-3216 | topical=YES | strict=YES | fp=-
ID-3217 | topical=NO | strict=NO | fp=third-party
ID-3218 | topical=NO | strict=NO | fp=theme-mismatch
ID-3219 | topical=BORD | strict=NO | fp=theme-mismatch
ID-3220 | topical=YES | strict=YES | fp=-
ID-3221 | topical=BORD | strict=NO | fp=theme-mismatch
ID-3222 | topical=YES | strict=YES | fp=-
ID-3223 | topical=YES | strict=BORD | fp=ambiguous
ID-3224 | topical=NO | strict=NO | fp=non-ai-literal
ID-3225 | topical=YES | strict=NO | fp=thin-removed
ID-3226 | topical=YES | strict=NO | fp=thin-removed
ID-3227 | topical=BORD | strict=NO | fp=thin-removed
ID-3228 | topical=YES | strict=YES | fp=-
ID-3229 | topical=BORD | strict=NO | fp=thin-removed
ID-3230 | topical=YES | strict=YES | fp=-
ID-3231 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3232 | topical=YES | strict=YES | fp=-
ID-3233 | topical=YES | strict=YES | fp=-
ID-3234 | topical=YES | strict=YES | fp=-
ID-3235 | topical=YES | strict=YES | fp=-
ID-3236 | topical=YES | strict=YES | fp=-
ID-3237 | topical=NO | strict=NO | fp=theme-mismatch
ID-3238 | topical=YES | strict=YES | fp=-
ID-3239 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3240 | topical=YES | strict=BORD | fp=theme-mismatch
