ID-3241 | topical=NO | strict=NO | fp=theme-mismatch
ID-3242 | topical=YES | strict=YES | fp=-
ID-3243 | topical=NO | strict=NO | fp=theme-mismatch
ID-3244 | topical=YES | strict=YES | fp=-
ID-3245 | topical=YES | strict=YES | fp=-
ID-3246 | topical=NO | strict=NO | fp=third-party
ID-3247 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3248 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3249 | topical=YES | strict=YES | fp=-
ID-3250 | topical=NO | strict=NO | fp=bot-card
ID-3251 | topical=YES | strict=YES | fp=-
ID-3252 | topical=NO | strict=NO | fp=theme-mismatch
ID-3253 | topical=YES | strict=YES | fp=-
ID-3254 | topical=YES | strict=YES | fp=-
ID-3255 | topical=YES | strict=YES | fp=-
ID-3256 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3257 | topical=YES | strict=YES | fp=-
ID-3258 | topical=YES | strict=YES | fp=-
ID-3259 | topical=NO | strict=NO | fp=third-party
ID-3260 | topical=YES | strict=YES | fp=-
ID-3261 | topical=NO | strict=NO | fp=theme-mismatch
ID-3262 | topical=YES | strict=YES | fp=-
ID-3263 | topical=NO | strict=NO | fp=bot-card
ID-3264 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3265 | topical=YES | strict=YES | fp=-
ID-3266 | topical=NO | strict=NO | fp=theme-mismatch
ID-3267 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3268 | topical=NO | strict=NO | fp=theme-mismatch
ID-3269 | topical=YES | strict=YES | fp=-
ID-3270 | topical=YES | strict=YES | fp=-
ID-3271 | topical=YES | strict=YES | fp=-
ID-3272 | topical=NO | strict=NO | fp=bot-card
ID-3273 | topical=YES | strict=BORD | fp=thin-removed
ID-3274 | topical=NO | strict=NO | fp=theme-mismatch
ID-3275 | topical=NO | strict=NO | fp=third-party
ID-3276 | topical=NO | strict=NO | fp=theme-mismatch
ID-3277 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3278 | topical=NO | strict=NO | fp=theme-mismatch
ID-3279 | topical=YES | strict=YES | fp=-
ID-3280 | topical=YES | strict=YES | fp=-
