ID-3281 | topical=NO | strict=NO | fp=bot-card
ID-3282 | topical=NO | strict=NO | fp=theme-mismatch
ID-3283 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3284 | topical=YES | strict=YES | fp=-
ID-3285 | topical=NO | strict=NO | fp=theme-mismatch
ID-3286 | topical=NO | strict=NO | fp=theme-mismatch
ID-3287 | topical=NO | strict=NO | fp=theme-mismatch
ID-3288 | topical=NO | strict=NO | fp=ironic-rejection
ID-3289 | topical=NO | strict=NO | fp=non-ai-literal
ID-3290 | topical=NO | strict=NO | fp=theme-mismatch
ID-3291 | topical=YES | strict=BORD | fp=theme-mismatch
ID-3292 | topical=NO | strict=NO | fp=theme-mismatch
ID-3293 | topical=YES | strict=NO | fp=thin-removed
ID-3294 | topical=NO | strict=NO | fp=theme-mismatch
ID-3295 | topical=NO | strict=NO | fp=theme-mismatch
ID-3296 | topical=NO | strict=NO | fp=non-ai-literal
ID-3297 | topical=BORD | strict=NO | fp=theme-mismatch
ID-3298 | topical=YES | strict=YES | fp=-
ID-3299 | topical=YES | strict=YES | fp=-
ID-3300 | topical=BORD | strict=NO | fp=theme-mismatch
