NS-0135 | themes=none | ai_referent=NO
NS-0066 | themes=rupture | ai_referent=YES
NS-0001 | themes=none | ai_referent=NO
NS-0119 | themes=none | ai_referent=NO
NS-0121 | themes=rupture | ai_referent=YES
NS-0149 | themes=none | ai_referent=YES
NS-0014 | themes=none | ai_referent=NO
NS-0141 | themes=none | ai_referent=NO
NS-0145 | themes=rupture | ai_referent=YES
NS-0151 | themes=none | ai_referent=YES
NS-0050 | themes=none | ai_referent=NO
NS-0098 | themes=rupture | ai_referent=YES
NS-0078 | themes=none | ai_referent=YES
NS-0054 | themes=none | ai_referent=NO
NS-0137 | themes=none | ai_referent=YES
NS-0002 | themes=none | ai_referent=NO
NS-0083 | themes=none | ai_referent=NO
NS-0101 | themes=rupture | ai_referent=YES
NS-0123 | themes=none | ai_referent=NO
NS-0057 | themes=none | ai_referent=NO
NS-0072 | themes=none | ai_referent=YES
NS-0013 | themes=none | ai_referent=NO
NS-0011 | themes=none | ai_referent=NO
NS-0102 | themes=none | ai_referent=YES
NS-0006 | themes=none | ai_referent=NO
NS-0069 | themes=none | ai_referent=YES
NS-0131 | themes=none | ai_referent=YES
NS-0160 | themes=none | ai_referent=YES
NS-0086 | themes=rupture | ai_referent=YES
NS-0063 | themes=none | ai_referent=NO
NS-0081 | themes=none | ai_referent=YES
NS-0068 | themes=none | ai_referent=YES
NS-0020 | themes=none | ai_referent=NO
NS-0065 | themes=none | ai_referent=NO
NS-0026 | themes=none | ai_referent=YES
NS-0056 | themes=none | ai_referent=NO
NS-0104 | themes=romance,rupture | ai_referent=YES
NS-0106 | themes=none | ai_referent=NO
NS-0024 | themes=none | ai_referent=NO
NS-0126 | themes=none | ai_referent=NO
