ID-0559 | topical=YES | strict=YES | fp=-
ID-0561 | topical=YES | strict=YES | fp=-
ID-0355 | topical=YES | strict=YES | fp=-
ID-0608 | topical=YES | strict=YES | fp=-
ID-0662 | topical=YES | strict=YES | fp=-
ID-0623 | topical=YES | strict=YES | fp=-
ID-0498 | topical=YES | strict=YES | fp=-
ID-0676 | topical=YES | strict=YES | fp=-
ID-0527 | topical=YES | strict=YES | fp=-
ID-0653 | topical=YES | strict=YES | fp=-
ID-0404 | topical=YES | strict=YES | fp=-
ID-0504 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0580 | topical=YES | strict=NO | fp=third-party
ID-0596 | topical=YES | strict=YES | fp=-
ID-0532 | topical=YES | strict=BORD | fp=thin-removed
ID-0666 | topical=YES | strict=YES | fp=-
ID-0500 | topical=NO | strict=NO | fp=theme-mismatch
ID-0489 | topical=YES | strict=YES | fp=-
ID-0445 | topical=NO | strict=NO | fp=theme-mismatch
ID-0677 | topical=YES | strict=YES | fp=-
ID-0565 | topical=YES | strict=YES | fp=-
ID-0647 | topical=YES | strict=YES | fp=-
ID-0430 | topical=YES | strict=YES | fp=-
ID-0553 | topical=YES | strict=YES | fp=-
ID-0478 | topical=YES | strict=YES | fp=-
ID-0681 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0668 | topical=BORD | strict=NO | fp=thin-removed
ID-0612 | topical=YES | strict=YES | fp=-
ID-0365 | topical=YES | strict=YES | fp=-
ID-0364 | topical=YES | strict=YES | fp=-
ID-0552 | topical=YES | strict=YES | fp=-
ID-0644 | topical=YES | strict=YES | fp=-
ID-0548 | topical=YES | strict=YES | fp=-
ID-0587 | topical=YES | strict=BORD | fp=thin-removed
ID-0356 | topical=NO | strict=NO | fp=theme-mismatch
ID-0454 | topical=YES | strict=YES | fp=-
ID-0412 | topical=YES | strict=YES | fp=-
ID-0363 | topical=YES | strict=YES | fp=-
ID-0543 | topical=YES | strict=YES | fp=-
ID-0383 | topical=YES | strict=YES | fp=-
