ID-0265 | topical=NO | strict=NO | fp=bot-card
ID-0271 | topical=NO | strict=NO | fp=theme-mismatch
ID-0190 | topical=YES | strict=YES | fp=-
ID-0177 | topical=YES | strict=BORD | fp=thin-removed
ID-0193 | topical=YES | strict=YES | fp=-
ID-0162 | topical=YES | strict=YES | fp=-
ID-0280 | topical=YES | strict=YES | fp=-
ID-0233 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0274 | topical=NO | strict=NO | fp=theme-mismatch
ID-0236 | topical=YES | strict=YES | fp=-
ID-0243 | topical=YES | strict=YES | fp=-
ID-0349 | topical=NO | strict=NO | fp=theme-mismatch
ID-0293 | topical=YES | strict=YES | fp=-
ID-0191 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0350 | topical=YES | strict=YES | fp=-
ID-0344 | topical=YES | strict=YES | fp=-
ID-0231 | topical=YES | strict=YES | fp=-
ID-0216 | topical=NO | strict=NO | fp=theme-mismatch
ID-0335 | topical=YES | strict=YES | fp=-
ID-0260 | topical=NO | strict=NO | fp=theme-mismatch
ID-0160 | topical=YES | strict=BORD | fp=third-party
ID-0255 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0207 | topical=BORD | strict=NO | fp=rp-internal
ID-0169 | topical=YES | strict=YES | fp=-
ID-0218 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0338 | topical=YES | strict=BORD | fp=rp-internal
ID-0315 | topical=YES | strict=YES | fp=-
ID-0320 | topical=YES | strict=YES | fp=-
ID-0179 | topical=NO | strict=NO | fp=bot-card
ID-0327 | topical=NO | strict=NO | fp=theme-mismatch
ID-0346 | topical=NO | strict=NO | fp=theme-mismatch
ID-0245 | topical=YES | strict=YES | fp=-
ID-0286 | topical=YES | strict=YES | fp=-
ID-0232 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0170 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0168 | topical=YES | strict=YES | fp=-
ID-0222 | topical=YES | strict=BORD | fp=thin-removed
ID-0334 | topical=YES | strict=YES | fp=-
ID-0324 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0329 | topical=YES | strict=BORD | fp=theme-mismatch
