ID-0868 | topical=YES | strict=BORD | fp=thin-removed
ID-1006 | topical=YES | strict=YES | fp=-
ID-0763 | topical=YES | strict=YES | fp=-
ID-0980 | topical=YES | strict=YES | fp=-
ID-1010 | topical=YES | strict=BORD | fp=thin-removed
ID-0765 | topical=NO | strict=NO | fp=third-party
ID-0893 | topical=YES | strict=BORD | fp=rp-internal
ID-0801 | topical=YES | strict=NO | fp=theme-mismatch
ID-0788 | topical=YES | strict=YES | fp=-
ID-0852 | topical=YES | strict=YES | fp=-
ID-0901 | topical=YES | strict=YES | fp=-
ID-0825 | topical=YES | strict=YES | fp=-
ID-1039 | topical=NO | strict=NO | fp=ironic-rejection
ID-0929 | topical=YES | strict=YES | fp=-
ID-1055 | topical=NO | strict=NO | fp=theme-mismatch
ID-0858 | topical=NO | strict=NO | fp=theme-mismatch
ID-1067 | topical=YES | strict=YES | fp=-
ID-0766 | topical=YES | strict=YES | fp=-
ID-0802 | topical=YES | strict=YES | fp=-
ID-1043 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0887 | topical=YES | strict=YES | fp=-
ID-0701 | topical=YES | strict=YES | fp=-
ID-0905 | topical=YES | strict=YES | fp=-
ID-0752 | topical=YES | strict=BORD | fp=rp-internal
ID-1047 | topical=YES | strict=BORD | fp=thin-removed
ID-0998 | topical=NO | strict=NO | fp=rp-internal
ID-0951 | topical=YES | strict=YES | fp=-
ID-0753 | topical=YES | strict=BORD | fp=bot-card
ID-0822 | topical=YES | strict=BORD | fp=thin-removed
ID-0814 | topical=YES | strict=YES | fp=-
ID-0877 | topical=NO | strict=NO | fp=theme-mismatch
ID-0926 | topical=YES | strict=YES | fp=-
ID-0717 | topical=NO | strict=NO | fp=theme-mismatch
ID-1073 | topical=YES | strict=NO | fp=third-party
ID-0709 | topical=NO | strict=NO | fp=bot-card
ID-0696 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0797 | topical=YES | strict=BORD | fp=thin-removed
ID-0866 | topical=YES | strict=BORD | fp=thin-removed
ID-0806 | topical=YES | strict=YES | fp=-
ID-0782 | topical=YES | strict=YES | fp=-
