ID-0776 | topical=YES | strict=YES | fp=-
ID-0713 | topical=NO | strict=NO | fp=wrong-referent
ID-0840 | topical=YES | strict=YES | fp=-
ID-0957 | topical=YES | strict=YES | fp=-
ID-0715 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1071 | topical=YES | strict=YES | fp=-
ID-0968 | topical=YES | strict=YES | fp=-
ID-1021 | topical=NO | strict=NO | fp=theme-mismatch
ID-0936 | topical=YES | strict=NO | fp=thin-removed
ID-0771 | topical=YES | strict=YES | fp=-
ID-0979 | topical=YES | strict=BORD | fp=ambiguous
ID-0783 | topical=YES | strict=YES | fp=-
ID-0813 | topical=YES | strict=YES | fp=-
ID-0772 | topical=YES | strict=YES | fp=-
ID-1002 | topical=YES | strict=YES | fp=-
ID-0930 | topical=YES | strict=NO | fp=thin-removed
ID-1036 | topical=NO | strict=NO | fp=rp-internal
ID-0798 | topical=NO | strict=NO | fp=theme-mismatch
ID-0837 | topical=YES | strict=YES | fp=-
ID-1045 | topical=NO | strict=NO | fp=bot-card
ID-0978 | topical=BORD | strict=NO | fp=ambiguous
ID-0779 | topical=YES | strict=YES | fp=-
ID-0724 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0824 | topical=YES | strict=YES | fp=-
ID-0842 | topical=YES | strict=YES | fp=-
ID-1042 | topical=NO | strict=NO | fp=third-party
ID-1007 | topical=YES | strict=YES | fp=-
ID-0987 | topical=YES | strict=BORD | fp=third-party
ID-0734 | topical=YES | strict=YES | fp=-
ID-0719 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1034 | topical=YES | strict=YES | fp=-
ID-0793 | topical=BORD | strict=NO | fp=thin-removed
ID-0811 | topical=YES | strict=YES | fp=-
ID-0984 | topical=NO | strict=NO | fp=non-ai-literal
ID-0787 | topical=YES | strict=YES | fp=-
ID-0804 | topical=YES | strict=YES | fp=-
ID-0922 | topical=YES | strict=YES | fp=-
ID-0704 | topical=YES | strict=YES | fp=-
ID-1022 | topical=YES | strict=BORD | fp=ambiguous
ID-1026 | topical=YES | strict=YES | fp=-
