ID-0988 | topical=YES | strict=NO | fp=thin-removed
ID-0693 | topical=YES | strict=YES | fp=-
ID-1068 | topical=YES | strict=NO | fp=thin-removed
ID-0993 | topical=NO | strict=NO | fp=wrong-referent
ID-0688 | topical=YES | strict=NO | fp=theme-mismatch
ID-0945 | topical=YES | strict=YES | fp=-
ID-0942 | topical=YES | strict=YES | fp=-
ID-1058 | topical=NO | strict=NO | fp=theme-mismatch
ID-0725 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1096 | topical=YES | strict=YES | fp=-
ID-0820 | topical=YES | strict=YES | fp=-
ID-0874 | topical=YES | strict=YES | fp=-
ID-0810 | topical=YES | strict=NO | fp=thin-removed
ID-1027 | topical=YES | strict=NO | fp=thin-removed
ID-0962 | topical=YES | strict=YES | fp=-
ID-0863 | topical=NO | strict=NO | fp=theme-mismatch
ID-0855 | topical=YES | strict=BORD | fp=ambiguous
ID-0792 | topical=YES | strict=YES | fp=-
ID-0982 | topical=YES | strict=NO | fp=thin-removed
ID-0872 | topical=NO | strict=NO | fp=theme-mismatch
ID-0699 | topical=NO | strict=NO | fp=theme-mismatch
ID-0714 | topical=NO | strict=NO | fp=bot-card
ID-0971 | topical=NO | strict=NO | fp=wrong-referent
ID-0885 | topical=YES | strict=YES | fp=-
ID-0931 | topical=YES | strict=YES | fp=-
ID-0691 | topical=YES | strict=YES | fp=-
ID-0924 | topical=YES | strict=YES | fp=-
ID-1061 | topical=YES | strict=YES | fp=-
ID-0896 | topical=YES | strict=YES | fp=-
ID-1077 | topical=YES | strict=YES | fp=-
ID-0728 | topical=YES | strict=NO | fp=thin-removed
ID-0721 | topical=YES | strict=YES | fp=-
ID-0940 | topical=YES | strict=YES | fp=-
ID-0953 | topical=BORD | strict=NO | fp=rp-internal
ID-1088 | topical=YES | strict=BORD | fp=ambiguous
ID-0795 | topical=YES | strict=YES | fp=-
ID-0856 | topical=NO | strict=NO | fp=theme-mismatch
ID-0908 | topical=YES | strict=YES | fp=-
ID-0720 | topical=YES | strict=NO | fp=ambiguous
ID-0974 | topical=YES | strict=NO | fp=thin-removed
