ID-0873 | topical=NO | strict=NO | fp=wrong-referent
ID-0739 | topical=YES | strict=YES | fp=-
ID-1001 | topical=BORD | strict=NO | fp=rp-internal
ID-1076 | topical=NO | strict=NO | fp=third-party
ID-1074 | topical=YES | strict=YES | fp=-
ID-0941 | topical=YES | strict=YES | fp=-
ID-0707 | topical=BORD | strict=NO | fp=bot-card
ID-0729 | topical=YES | strict=YES | fp=-
ID-0712 | topical=YES | strict=BORD | fp=thin-removed
ID-0803 | topical=YES | strict=YES | fp=-
ID-0754 | topical=YES | strict=BORD | fp=thin-removed
ID-0710 | topical=NO | strict=NO | fp=rp-internal
ID-0865 | topical=YES | strict=YES | fp=-
ID-0760 | topical=YES | strict=YES | fp=-
ID-0909 | topical=YES | strict=YES | fp=-
ID-0983 | topical=YES | strict=YES | fp=-
ID-0789 | topical=YES | strict=YES | fp=-
ID-0807 | topical=YES | strict=YES | fp=-
ID-0888 | topical=YES | strict=BORD | fp=rp-internal
ID-0778 | topical=YES | strict=YES | fp=-
ID-0907 | topical=YES | strict=YES | fp=-
ID-0849 | topical=YES | strict=YES | fp=-
ID-0871 | topical=YES | strict=YES | fp=-
ID-0902 | topical=YES | strict=YES | fp=-
ID-0862 | topical=NO | strict=NO | fp=theme-mismatch
ID-0920 | topical=YES | strict=YES | fp=-
ID-0919 | topical=YES | strict=YES | fp=-
ID-0928 | topical=YES | strict=YES | fp=-
ID-0731 | topical=YES | strict=YES | fp=-
ID-0784 | topical=YES | strict=YES | fp=-
ID-0695 | topical=YES | strict=YES | fp=-
ID-0973 | topical=YES | strict=YES | fp=-
ID-0733 | topical=YES | strict=YES | fp=-
ID-0857 | topical=YES | strict=YES | fp=-
ID-1008 | topical=YES | strict=YES | fp=-
ID-0914 | topical=YES | strict=YES | fp=-
ID-0749 | topical=YES | strict=YES | fp=-
ID-0964 | topical=YES | strict=YES | fp=-
ID-0976 | topical=YES | strict=YES | fp=-
ID-0921 | topical=YES | strict=YES | fp=-
