ID-1474 | topical=YES | strict=YES | fp=-
ID-1352 | topical=YES | strict=YES | fp=-
ID-1594 | topical=YES | strict=YES | fp=-
ID-1455 | topical=YES | strict=YES | fp=-
ID-1508 | topical=YES | strict=YES | fp=-
ID-1503 | topical=YES | strict=YES | fp=-
ID-1670 | topical=YES | strict=YES | fp=-
ID-1688 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1367 | topical=YES | strict=YES | fp=-
ID-1551 | topical=NO | strict=NO | fp=theme-mismatch
ID-1430 | topical=YES | strict=YES | fp=-
ID-1481 | topical=NO | strict=NO | fp=theme-mismatch
ID-1656 | topical=YES | strict=YES | fp=-
ID-1492 | topical=YES | strict=YES | fp=-
ID-1378 | topical=YES | strict=YES | fp=-
ID-1730 | topical=YES | strict=YES | fp=-
ID-1686 | topical=YES | strict=YES | fp=-
ID-1568 | topical=YES | strict=YES | fp=-
ID-1734 | topical=YES | strict=YES | fp=-
ID-1436 | topical=YES | strict=NO | fp=thin-removed
ID-1668 | topical=YES | strict=YES | fp=-
ID-1425 | topical=NO | strict=NO | fp=theme-mismatch
ID-1648 | topical=YES | strict=YES | fp=-
ID-1526 | topical=YES | strict=YES | fp=-
ID-1665 | topical=YES | strict=YES | fp=-
ID-1445 | topical=YES | strict=YES | fp=-
ID-1810 | topical=YES | strict=BORD | fp=ambiguous
ID-1758 | topical=YES | strict=YES | fp=-
ID-1432 | topical=NO | strict=NO | fp=theme-mismatch
ID-1674 | topical=YES | strict=YES | fp=-
ID-1525 | topical=YES | strict=YES | fp=-
ID-1647 | topical=YES | strict=YES | fp=-
ID-1377 | topical=YES | strict=YES | fp=-
ID-1602 | topical=YES | strict=NO | fp=thin-removed
ID-1621 | topical=YES | strict=YES | fp=-
ID-1666 | topical=NO | strict=NO | fp=theme-mismatch
ID-1687 | topical=NO | strict=NO | fp=rp-internal
ID-1390 | topical=YES | strict=YES | fp=-
ID-1433 | topical=YES | strict=NO | fp=thin-removed
ID-1678 | topical=YES | strict=BORD | fp=third-party
