ID-1798 | topical=YES | strict=BORD | fp=thin-removed
ID-1522 | topical=YES | strict=YES | fp=-
ID-1517 | topical=YES | strict=YES | fp=-
ID-1454 | topical=NO | strict=NO | fp=bot-card
ID-1727 | topical=YES | strict=YES | fp=-
ID-1576 | topical=YES | strict=YES | fp=-
ID-1442 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1615 | topical=NO | strict=NO | fp=theme-mismatch
ID-1466 | topical=YES | strict=YES | fp=-
ID-1598 | topical=YES | strict=YES | fp=-
ID-1428 | topical=YES | strict=YES | fp=-
ID-1683 | topical=NO | strict=NO | fp=theme-mismatch
ID-1541 | topical=YES | strict=YES | fp=-
ID-1637 | topical=YES | strict=YES | fp=-
ID-1384 | topical=YES | strict=YES | fp=-
ID-1424 | topical=NO | strict=NO | fp=theme-mismatch
ID-1532 | topical=NO | strict=NO | fp=theme-mismatch
ID-1489 | topical=YES | strict=YES | fp=-
ID-1743 | topical=YES | strict=BORD | fp=thin-removed
ID-1509 | topical=YES | strict=YES | fp=-
ID-1440 | topical=NO | strict=NO | fp=theme-mismatch
ID-1361 | topical=YES | strict=YES | fp=-
ID-1811 | topical=YES | strict=YES | fp=-
ID-1619 | topical=YES | strict=YES | fp=-
ID-1493 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1478 | topical=YES | strict=YES | fp=-
ID-1705 | topical=YES | strict=YES | fp=-
