ID-1315 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1242 | topical=YES | strict=YES | fp=-
ID-1155 | topical=NO | strict=NO | fp=theme-mismatch
ID-1142 | topical=YES | strict=NO | fp=thin-removed
ID-1146 | topical=YES | strict=YES | fp=-
ID-1324 | topical=YES | strict=YES | fp=-
ID-1235 | topical=YES | strict=YES | fp=-
ID-1281 | topical=YES | strict=YES | fp=-
ID-1224 | topical=YES | strict=YES | fp=-
ID-1194 | topical=YES | strict=YES | fp=-
ID-1302 | topical=YES | strict=YES | fp=-
ID-1116 | topical=YES | strict=NO | fp=thin-removed
ID-1137 | topical=NO | strict=NO | fp=theme-mismatch
ID-1128 | topical=YES | strict=YES | fp=-
ID-1348 | topical=YES | strict=YES | fp=-
ID-1277 | topical=YES | strict=YES | fp=-
ID-1117 | topical=YES | strict=NO | fp=thin-removed
ID-1103 | topical=YES | strict=YES | fp=-
ID-1282 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1112 | topical=YES | strict=YES | fp=-
ID-1817 | topical=YES | strict=NO | fp=theme-mismatch
ID-1778 | topical=YES | strict=YES | fp=-
ID-1791 | topical=YES | strict=YES | fp=-
ID-1254 | topical=YES | strict=YES | fp=-
ID-1290 | topical=NO | strict=NO | fp=ironic-rejection
ID-1265 | topical=YES | strict=YES | fp=-
ID-1317 | topical=YES | strict=YES | fp=-
ID-1319 | topical=YES | strict=BORD | fp=third-party
ID-1136 | topical=YES | strict=YES | fp=-
ID-1267 | topical=YES | strict=YES | fp=-
ID-1285 | topical=YES | strict=YES | fp=-
ID-1322 | topical=YES | strict=NO | fp=theme-mismatch
ID-1326 | topical=YES | strict=YES | fp=-
ID-1336 | topical=YES | strict=YES | fp=-
ID-1227 | topical=YES | strict=YES | fp=-
ID-1342 | topical=YES | strict=YES | fp=-
ID-1249 | topical=YES | strict=YES | fp=-
ID-1230 | topical=NO | strict=NO | fp=theme-mismatch
ID-1788 | topical=YES | strict=YES | fp=-
ID-1252 | topical=YES | strict=YES | fp=-
