ID-1248 | topical=NO | strict=NO | fp=bot-card
ID-1238 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1174 | topical=YES | strict=YES | fp=-
ID-1777 | topical=YES | strict=YES | fp=-
ID-1305 | topical=YES | strict=YES | fp=-
ID-1153 | topical=YES | strict=YES | fp=-
ID-1286 | topical=YES | strict=YES | fp=-
ID-1273 | topical=YES | strict=YES | fp=-
ID-1264 | topical=YES | strict=YES | fp=-
ID-1102 | topical=YES | strict=YES | fp=-
ID-1294 | topical=YES | strict=YES | fp=-
ID-1280 | topical=YES | strict=YES | fp=-
ID-1338 | topical=YES | strict=YES | fp=-
ID-1328 | topical=YES | strict=YES | fp=-
ID-1169 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1149 | topical=YES | strict=BORD | fp=ambiguous
ID-1766 | topical=YES | strict=YES | fp=-
ID-1159 | topical=YES | strict=YES | fp=-
ID-1821 | topical=YES | strict=BORD | fp=third-party
ID-1132 | topical=YES | strict=YES | fp=-
ID-1167 | topical=YES | strict=YES | fp=-
ID-1243 | topical=YES | strict=BORD | fp=thin-removed
ID-1794 | topical=YES | strict=YES | fp=-
ID-1816 | topical=NO | strict=NO | fp=theme-mismatch
ID-1344 | topical=YES | strict=YES | fp=-
ID-1790 | topical=YES | strict=YES | fp=-
ID-1335 | topical=YES | strict=YES | fp=-
ID-1183 | topical=YES | strict=BORD | fp=thin-removed
ID-1292 | topical=NO | strict=NO | fp=bot-card
ID-1213 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1162 | topical=YES | strict=YES | fp=-
ID-1311 | topical=NO | strict=NO | fp=third-party
ID-1127 | topical=YES | strict=YES | fp=-
ID-1250 | topical=YES | strict=BORD | fp=thin-removed
ID-1106 | topical=YES | strict=BORD | fp=thin-removed
ID-1316 | topical=YES | strict=BORD | fp=thin-removed
ID-1325 | topical=YES | strict=YES | fp=-
ID-1247 | topical=YES | strict=YES | fp=-
ID-1786 | topical=YES | strict=YES | fp=-
ID-1763 | topical=YES | strict=YES | fp=-
