ID-1180 | topical=YES | strict=YES | fp=-
ID-1796 | topical=YES | strict=YES | fp=-
ID-1119 | topical=YES | strict=YES | fp=-
ID-1792 | topical=YES | strict=YES | fp=-
ID-1135 | topical=NO | strict=NO | fp=third-party
ID-1211 | topical=YES | strict=YES | fp=-
ID-1779 | topical=YES | strict=YES | fp=-
ID-1114 | topical=YES | strict=YES | fp=-
ID-1287 | topical=YES | strict=YES | fp=-
ID-1259 | topical=YES | strict=BORD | fp=ambiguous
ID-1110 | topical=YES | strict=YES | fp=-
ID-1148 | topical=YES | strict=YES | fp=-
ID-1288 | topical=YES | strict=YES | fp=-
ID-1303 | topical=YES | strict=YES | fp=-
ID-1279 | topical=YES | strict=YES | fp=-
ID-1150 | topical=YES | strict=YES | fp=-
ID-1189 | topical=YES | strict=YES | fp=-
ID-1105 | topical=YES | strict=YES | fp=-
ID-1165 | topical=YES | strict=YES | fp=-
ID-1140 | topical=YES | strict=YES | fp=-
ID-1256 | topical=YES | strict=YES | fp=-
ID-1334 | topical=YES | strict=YES | fp=-
ID-1184 | topical=YES | strict=YES | fp=-
ID-1797 | topical=YES | strict=YES | fp=-
ID-1187 | topical=NO | strict=NO | fp=bot-card
ID-1214 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1166 | topical=YES | strict=YES | fp=-
ID-1205 | topical=YES | strict=YES | fp=-
ID-1780 | topical=YES | strict=YES | fp=-
ID-1774 | topical=YES | strict=YES | fp=-
ID-1231 | topical=YES | strict=YES | fp=-
ID-1783 | topical=YES | strict=YES | fp=-
ID-1212 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1283 | topical=YES | strict=YES | fp=-
ID-1156 | topical=YES | strict=YES | fp=-
ID-1178 | topical=YES | strict=YES | fp=-
ID-1244 | topical=YES | strict=YES | fp=-
ID-1221 | topical=YES | strict=YES | fp=-
ID-1195 | topical=YES | strict=YES | fp=-
ID-1210 | topical=BORD | strict=NO | fp=third-party
