ID-1185 | topical=YES | strict=NO | fp=thin-removed
ID-1219 | topical=YES | strict=YES | fp=-
ID-1158 | topical=YES | strict=YES | fp=-
ID-1206 | topical=YES | strict=NO | fp=thin-removed
ID-1173 | topical=YES | strict=NO | fp=bot-card
ID-1819 | topical=YES | strict=YES | fp=-
ID-1327 | topical=YES | strict=YES | fp=-
ID-1818 | topical=YES | strict=YES | fp=-
ID-1104 | topical=YES | strict=BORD | fp=thin-removed
ID-1772 | topical=YES | strict=NO | fp=thin-removed
ID-1223 | topical=YES | strict=BORD | fp=thin-removed
ID-1151 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1347 | topical=YES | strict=YES | fp=-
ID-1204 | topical=YES | strict=NO | fp=thin-removed
ID-1240 | topical=YES | strict=BORD | fp=thin-removed
ID-1263 | topical=YES | strict=BORD | fp=thin-removed
ID-1109 | topical=YES | strict=YES | fp=-
ID-1228 | topical=YES | strict=YES | fp=-
