ID-0018 | topical=YES | strict=NO | fp=theme-mismatch
ID-0110 | topical=YES | strict=NO | fp=theme-mismatch
ID-0135 | topical=NO | strict=NO | fp=non-ai-literal
ID-0085 | topical=NO | strict=NO | fp=theme-mismatch
ID-0095 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0103 | topical=YES | strict=NO | fp=theme-mismatch
ID-0002 | topical=YES | strict=NO | fp=thin-removed
ID-0157 | topical=YES | strict=YES | fp=-
ID-0014 | topical=YES | strict=NO | fp=third-party
ID-0133 | topical=NO | strict=NO | fp=theme-mismatch
ID-0147 | topical=YES | strict=YES | fp=-
ID-0010 | topical=YES | strict=YES | fp=-
ID-0093 | topical=NO | strict=NO | fp=theme-mismatch
ID-0012 | topical=YES | strict=NO | fp=thin-removed
ID-0005 | topical=NO | strict=NO | fp=theme-mismatch
ID-0155 | topical=YES | strict=NO | fp=thin-removed
ID-0013 | topical=YES | strict=YES | fp=-
ID-0117 | topical=YES | strict=YES | fp=-
ID-0053 | topical=YES | strict=NO | fp=thin-removed
ID-0158 | topical=YES | strict=NO | fp=thin-removed
ID-0086 | topical=NO | strict=NO | fp=theme-mismatch
ID-0143 | topical=YES | strict=YES | fp=-
ID-0094 | topical=NO | strict=NO | fp=theme-mismatch
ID-0099 | topical=NO | strict=NO | fp=rp-internal
ID-0029 | topical=YES | strict=YES | fp=-
ID-0019 | topical=YES | strict=NO | fp=third-party
ID-0059 | topical=YES | strict=YES | fp=-
ID-0126 | topical=NO | strict=NO | fp=theme-mismatch
ID-0115 | topical=YES | strict=NO | fp=theme-mismatch
ID-0020 | topical=YES | strict=YES | fp=-
ID-0130 | topical=NO | strict=NO | fp=theme-mismatch
ID-0062 | topical=YES | strict=YES | fp=-
ID-0011 | topical=YES | strict=YES | fp=-
ID-0100 | topical=NO | strict=NO | fp=third-party
ID-0065 | topical=YES | strict=NO | fp=third-party
ID-0148 | topical=NO | strict=NO | fp=theme-mismatch
ID-0060 | topical=YES | strict=YES | fp=-
ID-0077 | topical=YES | strict=NO | fp=ironic-rejection
ID-0127 | topical=YES | strict=YES | fp=-
ID-0030 | topical=YES | strict=YES | fp=-
