ID-0006 | topical=YES | strict=BORD | fp=thin-removed
ID-0152 | topical=YES | strict=YES | fp=-
ID-0159 | topical=NO | strict=NO | fp=theme-mismatch
ID-0116 | topical=YES | strict=YES | fp=-
ID-0066 | topical=NO | strict=NO | fp=theme-mismatch
ID-0078 | topical=YES | strict=YES | fp=-
ID-0058 | topical=NO | strict=NO | fp=theme-mismatch
ID-0034 | topical=NO | strict=NO | fp=theme-mismatch
ID-0153 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0035 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0083 | topical=NO | strict=NO | fp=third-party
ID-0109 | topical=YES | strict=BORD | fp=thin-removed
ID-0040 | topical=YES | strict=BORD | fp=thin-removed
ID-0023 | topical=YES | strict=BORD | fp=ambiguous
ID-0096 | topical=NO | strict=NO | fp=third-party
ID-0001 | topical=YES | strict=BORD | fp=third-party
ID-0097 | topical=YES | strict=YES | fp=-
ID-0112 | topical=YES | strict=BORD | fp=third-party
ID-0104 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0057 | topical=NO | strict=NO | fp=third-party
ID-0072 | topical=YES | strict=BORD | fp=thin-removed
ID-0069 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0055 | topical=NO | strict=NO | fp=theme-mismatch
ID-0106 | topical=YES | strict=BORD | fp=third-party
ID-0118 | topical=YES | strict=YES | fp=-
ID-0009 | topical=YES | strict=YES | fp=-
ID-0074 | topical=YES | strict=YES | fp=-
ID-0032 | topical=YES | strict=YES | fp=-
ID-0141 | topical=NO | strict=NO | fp=theme-mismatch
ID-0089 | topical=NO | strict=NO | fp=ironic-rejection
ID-0124 | topical=NO | strict=NO | fp=theme-mismatch
ID-0028 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0101 | topical=YES | strict=YES | fp=-
ID-0031 | topical=YES | strict=BORD | fp=thin-removed
ID-0142 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0098 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0105 | topical=YES | strict=YES | fp=-
ID-0154 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0067 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0090 | topical=YES | strict=BORD | fp=thin-removed
