ID-0043 | topical=YES | strict=NO | fp=third-party
ID-0149 | topical=YES | strict=YES | fp=-
ID-0003 | topical=YES | strict=YES | fp=-
ID-0134 | topical=YES | strict=YES | fp=-
ID-0033 | topical=YES | strict=YES | fp=-
ID-0049 | topical=YES | strict=YES | fp=-
ID-0076 | topical=YES | strict=NO | fp=third-party
ID-0038 | topical=YES | strict=YES | fp=-
ID-0092 | topical=YES | strict=YES | fp=-
ID-0073 | topical=YES | strict=YES | fp=-
ID-0102 | topical=YES | strict=YES | fp=-
ID-0123 | topical=NO | strict=NO | fp=theme-mismatch
ID-0054 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0084 | topical=YES | strict=YES | fp=-
ID-0151 | topical=YES | strict=YES | fp=-
ID-0044 | topical=YES | strict=YES | fp=-
ID-0015 | topical=YES | strict=YES | fp=-
ID-0045 | topical=BORD | strict=NO | fp=rp-internal
ID-0048 | topical=NO | strict=NO | fp=rp-internal
ID-0070 | topical=YES | strict=YES | fp=-
ID-0052 | topical=YES | strict=YES | fp=-
ID-0108 | topical=YES | strict=NO | fp=third-party
ID-0016 | topical=YES | strict=YES | fp=-
ID-0088 | topical=YES | strict=YES | fp=-
ID-0042 | topical=YES | strict=NO | fp=third-party
ID-0113 | topical=YES | strict=YES | fp=-
ID-0022 | topical=YES | strict=YES | fp=-
ID-0004 | topical=YES | strict=YES | fp=-
ID-0075 | topical=YES | strict=YES | fp=-
ID-0122 | topical=YES | strict=YES | fp=-
ID-0131 | topical=NO | strict=NO | fp=theme-mismatch
ID-0046 | topical=BORD | strict=NO | fp=ambiguous
ID-0061 | topical=NO | strict=NO | fp=wrong-referent
ID-0139 | topical=YES | strict=YES | fp=-
ID-0129 | topical=NO | strict=NO | fp=theme-mismatch
ID-0081 | topical=YES | strict=YES | fp=-
ID-0082 | topical=YES | strict=YES | fp=-
ID-0119 | topical=YES | strict=NO | fp=ironic-rejection
ID-0037 | topical=YES | strict=BORD | fp=third-party
ID-0068 | topical=NO | strict=NO | fp=third-party
