ID-0140 | topical=NO | strict=NO | fp=theme-mismatch
ID-0050 | topical=YES | strict=YES | fp=-
ID-0138 | topical=NO | strict=NO | fp=theme-mismatch
ID-0063 | topical=NO | strict=NO | fp=theme-mismatch
ID-0087 | topical=NO | strict=NO | fp=theme-mismatch
ID-0150 | topical=YES | strict=YES | fp=-
ID-0128 | topical=BORD | strict=NO | fp=third-party
ID-0091 | topical=YES | strict=YES | fp=-
ID-0107 | topical=YES | strict=NO | fp=ironic-rejection
ID-0136 | topical=NO | strict=NO | fp=theme-mismatch
ID-0079 | topical=YES | strict=YES | fp=-
ID-0007 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0021 | topical=YES | strict=YES | fp=-
ID-0137 | topical=YES | strict=YES | fp=-
ID-0056 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0027 | topical=YES | strict=YES | fp=-
ID-0125 | topical=YES | strict=BORD | fp=third-party
ID-0017 | topical=YES | strict=YES | fp=-
ID-0145 | topical=YES | strict=YES | fp=-
ID-0008 | topical=YES | strict=BORD | fp=thin-removed
ID-0114 | topical=YES | strict=YES | fp=-
ID-0041 | topical=YES | strict=NO | fp=third-party
ID-0144 | topical=YES | strict=YES | fp=-
ID-0071 | topical=YES | strict=YES | fp=-
ID-0146 | topical=YES | strict=YES | fp=-
ID-0026 | topical=YES | strict=YES | fp=-
ID-0025 | topical=YES | strict=YES | fp=-
ID-0132 | topical=YES | strict=YES | fp=-
ID-0156 | topical=YES | strict=NO | fp=theme-mismatch
ID-0121 | topical=YES | strict=YES | fp=-
ID-0039 | topical=YES | strict=YES | fp=-
ID-0024 | topical=YES | strict=YES | fp=-
ID-0064 | topical=YES | strict=YES | fp=-
ID-0080 | topical=YES | strict=NO | fp=third-party
ID-0036 | topical=YES | strict=YES | fp=-
ID-0047 | topical=YES | strict=YES | fp=-
ID-0051 | topical=YES | strict=YES | fp=-
ID-0111 | topical=NO | strict=NO | fp=theme-mismatch
ID-0120 | topical=YES | strict=YES | fp=-
