ID-8040 | topical=NO | strict=NO | fp=theme-mismatch
ID-8041 | topical=YES | strict=NO | fp=ironic-rejection
ID-8042 | topical=NO | strict=NO | fp=theme-mismatch
ID-8043 | topical=YES | strict=YES | fp=-
ID-8044 | topical=YES | strict=YES | fp=-
ID-8045 | topical=YES | strict=NO | fp=thin-removed
ID-8046 | topical=YES | strict=YES | fp=-
ID-8047 | topical=YES | strict=YES | fp=-
ID-8048 | topical=NO | strict=NO | fp=third-party
ID-8049 | topical=YES | strict=NO | fp=theme-mismatch
ID-8050 | topical=YES | strict=YES | fp=-
ID-8051 | topical=YES | strict=YES | fp=-
ID-8052 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8053 | topical=YES | strict=NO | fp=thin-removed
ID-8054 | topical=YES | strict=YES | fp=-
ID-8055 | topical=NO | strict=NO | fp=third-party
ID-8056 | topical=YES | strict=YES | fp=-
ID-8057 | topical=YES | strict=NO | fp=thin-removed
ID-8058 | topical=YES | strict=YES | fp=-
ID-8059 | topical=YES | strict=YES | fp=-
ID-8060 | topical=YES | strict=NO | fp=theme-mismatch
ID-8061 | topical=BORD | strict=NO | fp=rp-internal
ID-8062 | topical=YES | strict=YES | fp=-
ID-8063 | topical=BORD | strict=NO | fp=theme-mismatch
ID-8064 | topical=YES | strict=YES | fp=-
ID-8065 | topical=NO | strict=NO | fp=theme-mismatch
ID-8066 | topical=YES | strict=YES | fp=-
ID-8067 | topical=YES | strict=YES | fp=-
ID-8068 | topical=YES | strict=YES | fp=-
ID-8069 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8070 | topical=YES | strict=YES | fp=-
ID-8071 | topical=YES | strict=YES | fp=-
ID-8072 | topical=YES | strict=YES | fp=-
ID-8073 | topical=YES | strict=YES | fp=-
ID-8074 | topical=YES | strict=YES | fp=-
ID-8075 | topical=YES | strict=YES | fp=-
ID-8076 | topical=YES | strict=YES | fp=-
ID-8077 | topical=YES | strict=YES | fp=-
ID-8078 | topical=YES | strict=NO | fp=thin-removed
ID-8079 | topical=YES | strict=YES | fp=-
