ID-8080 | topical=NO | strict=NO | fp=third-party
ID-8081 | topical=YES | strict=YES | fp=-
ID-8082 | topical=YES | strict=YES | fp=-
ID-8083 | topical=NO | strict=NO | fp=rp-internal
ID-8084 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8085 | topical=YES | strict=YES | fp=-
ID-8086 | topical=YES | strict=YES | fp=-
ID-8087 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8088 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8089 | topical=YES | strict=YES | fp=-
ID-8090 | topical=YES | strict=YES | fp=-
ID-8091 | topical=YES | strict=YES | fp=-
ID-8092 | topical=YES | strict=YES | fp=-
ID-8093 | topical=YES | strict=NO | fp=theme-mismatch
ID-8094 | topical=YES | strict=YES | fp=-
ID-8095 | topical=NO | strict=NO | fp=theme-mismatch
ID-8096 | topical=YES | strict=YES | fp=-
ID-8097 | topical=YES | strict=YES | fp=-
ID-8098 | topical=YES | strict=YES | fp=-
ID-8099 | topical=YES | strict=YES | fp=-
ID-8100 | topical=YES | strict=BORD | fp=rp-internal
ID-8101 | topical=YES | strict=YES | fp=-
ID-8102 | topical=YES | strict=YES | fp=-
ID-8103 | topical=YES | strict=YES | fp=-
ID-8104 | topical=NO | strict=NO | fp=theme-mismatch
ID-8105 | topical=YES | strict=YES | fp=-
ID-8106 | topical=NO | strict=NO | fp=third-party
ID-8107 | topical=YES | strict=YES | fp=-
ID-8108 | topical=YES | strict=YES | fp=-
ID-8109 | topical=NO | strict=NO | fp=bot-card
ID-8110 | topical=YES | strict=YES | fp=-
ID-8111 | topical=NO | strict=NO | fp=third-party
ID-8112 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8113 | topical=YES | strict=YES | fp=-
ID-8114 | topical=YES | strict=YES | fp=-
ID-8115 | topical=YES | strict=YES | fp=-
ID-8116 | topical=YES | strict=BORD | fp=thin-removed
ID-8117 | topical=YES | strict=NO | fp=thin-removed
ID-8118 | topical=YES | strict=NO | fp=theme-mismatch
ID-8119 | topical=YES | strict=YES | fp=-
