ID-8120 | topical=YES | strict=BORD | fp=rp-internal
ID-8121 | topical=YES | strict=YES | fp=-
ID-8122 | topical=YES | strict=YES | fp=-
ID-8123 | topical=NO | strict=NO | fp=theme-mismatch
ID-8124 | topical=YES | strict=NO | fp=thin-removed
ID-8125 | topical=YES | strict=YES | fp=-
ID-8126 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8127 | topical=YES | strict=NO | fp=theme-mismatch
ID-8128 | topical=BORD | strict=NO | fp=rp-internal
ID-8129 | topical=YES | strict=YES | fp=-
ID-8130 | topical=YES | strict=YES | fp=-
ID-8131 | topical=YES | strict=YES | fp=-
ID-8132 | topical=YES | strict=YES | fp=-
ID-8133 | topical=YES | strict=BORD | fp=thin-removed
ID-8134 | topical=YES | strict=YES | fp=-
ID-8135 | topical=YES | strict=YES | fp=-
ID-8136 | topical=YES | strict=BORD | fp=thin-removed
ID-8137 | topical=BORD | strict=NO | fp=bot-card
ID-8138 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8139 | topical=YES | strict=BORD | fp=thin-removed
ID-8140 | topical=YES | strict=YES | fp=-
ID-8141 | topical=YES | strict=YES | fp=-
ID-8142 | topical=YES | strict=YES | fp=-
ID-8143 | topical=YES | strict=BORD | fp=thin-removed
ID-8144 | topical=YES | strict=NO | fp=thin-removed
ID-8145 | topical=BORD | strict=NO | fp=thin-removed
ID-8146 | topical=YES | strict=YES | fp=-
ID-8147 | topical=YES | strict=YES | fp=-
ID-8148 | topical=YES | strict=YES | fp=-
ID-8149 | topical=YES | strict=NO | fp=thin-removed
ID-8150 | topical=YES | strict=BORD | fp=thin-removed
ID-8151 | topical=YES | strict=YES | fp=-
ID-8152 | topical=YES | strict=NO | fp=thin-removed
ID-8153 | topical=YES | strict=NO | fp=thin-removed
ID-8154 | topical=NO | strict=NO | fp=wrong-referent
ID-8155 | topical=YES | strict=YES | fp=-
ID-8156 | topical=YES | strict=BORD | fp=thin-removed
ID-8157 | topical=YES | strict=NO | fp=thin-removed
ID-8158 | topical=YES | strict=BORD | fp=thin-removed
ID-8159 | topical=YES | strict=YES | fp=-
