ID-8240 | topical=NO | strict=NO | fp=theme-mismatch
ID-8241 | topical=YES | strict=NO | fp=thin-removed
ID-8242 | topical=NO | strict=NO | fp=theme-mismatch
ID-8243 | topical=YES | strict=YES | fp=-
ID-8244 | topical=NO | strict=NO | fp=ironic-rejection
ID-8245 | topical=BORD | strict=NO | fp=thin-removed
ID-8246 | topical=BORD | strict=NO | fp=thin-removed
ID-8247 | topical=YES | strict=YES | fp=-
ID-8248 | topical=NO | strict=NO | fp=theme-mismatch
ID-8249 | topical=YES | strict=YES | fp=-
ID-8250 | topical=NO | strict=NO | fp=theme-mismatch
ID-8251 | topical=YES | strict=YES | fp=-
ID-8252 | topical=YES | strict=NO | fp=thin-removed
ID-8253 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8254 | topical=NO | strict=NO | fp=rp-internal
ID-8255 | topical=YES | strict=YES | fp=-
ID-8256 | topical=BORD | strict=NO | fp=third-party
ID-8257 | topical=YES | strict=YES | fp=-
ID-8258 | topical=YES | strict=YES | fp=-
ID-8259 | topical=YES | strict=YES | fp=-
ID-8260 | topical=BORD | strict=NO | fp=theme-mismatch
ID-8261 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8262 | topical=YES | strict=YES | fp=-
ID-8263 | topical=NO | strict=NO | fp=non-ai-literal
ID-8264 | topical=YES | strict=NO | fp=ambiguous
ID-8265 | topical=YES | strict=YES | fp=-
ID-8266 | topical=YES | strict=YES | fp=-
ID-8267 | topical=YES | strict=YES | fp=-
ID-8268 | topical=NO | strict=NO | fp=rp-internal
ID-8269 | topical=YES | strict=YES | fp=-
ID-8270 | topical=YES | strict=BORD | fp=third-party
ID-8271 | topical=YES | strict=BORD | fp=ambiguous
ID-8272 | topical=YES | strict=YES | fp=-
ID-8273 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8274 | topical=NO | strict=NO | fp=rp-internal
ID-8275 | topical=BORD | strict=NO | fp=theme-mismatch
ID-8276 | topical=NO | strict=NO | fp=non-ai-literal
ID-8277 | topical=NO | strict=NO | fp=theme-mismatch
ID-8278 | topical=YES | strict=NO | fp=theme-mismatch
ID-8279 | topical=YES | strict=YES | fp=-
