ID-8320 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8321 | topical=YES | strict=BORD | fp=thin-removed
ID-8322 | topical=YES | strict=YES | fp=-
ID-8323 | topical=YES | strict=YES | fp=-
ID-8324 | topical=YES | strict=YES | fp=-
ID-8325 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8326 | topical=YES | strict=YES | fp=-
ID-8327 | topical=YES | strict=YES | fp=-
ID-8328 | topical=YES | strict=BORD | fp=thin-removed
ID-8329 | topical=YES | strict=YES | fp=-
ID-8330 | topical=YES | strict=YES | fp=-
ID-8331 | topical=NO | strict=NO | fp=ironic-rejection
ID-8332 | topical=YES | strict=YES | fp=-
ID-8333 | topical=YES | strict=NO | fp=theme-mismatch
ID-8334 | topical=YES | strict=YES | fp=-
ID-8335 | topical=YES | strict=YES | fp=-
ID-8336 | topical=YES | strict=YES | fp=-
ID-8337 | topical=YES | strict=YES | fp=-
ID-8338 | topical=YES | strict=YES | fp=-
ID-8339 | topical=YES | strict=YES | fp=-
ID-8340 | topical=YES | strict=YES | fp=-
ID-8341 | topical=NO | strict=NO | fp=theme-mismatch
ID-8342 | topical=YES | strict=YES | fp=-
ID-8343 | topical=NO | strict=NO | fp=theme-mismatch
ID-8344 | topical=NO | strict=NO | fp=rp-internal
ID-8345 | topical=YES | strict=BORD | fp=thin-removed
ID-8346 | topical=YES | strict=BORD | fp=thin-removed
ID-8347 | topical=YES | strict=YES | fp=-
ID-8348 | topical=YES | strict=BORD | fp=ambiguous
ID-8349 | topical=YES | strict=YES | fp=-
ID-8350 | topical=YES | strict=YES | fp=-
ID-8351 | topical=YES | strict=YES | fp=-
ID-8352 | topical=YES | strict=YES | fp=-
ID-8353 | topical=YES | strict=YES | fp=-
ID-8354 | topical=YES | strict=YES | fp=-
ID-8355 | topical=NO | strict=NO | fp=bot-card
ID-8356 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8357 | topical=YES | strict=YES | fp=-
ID-8358 | topical=NO | strict=NO | fp=theme-mismatch
ID-8359 | topical=NO | strict=NO | fp=theme-mismatch
