ID-8360 | topical=YES | strict=YES | fp=-
ID-8361 | topical=YES | strict=YES | fp=-
ID-8362 | topical=NO | strict=NO | fp=theme-mismatch
ID-8363 | topical=YES | strict=YES | fp=-
ID-8364 | topical=YES | strict=YES | fp=-
ID-8365 | topical=YES | strict=NO | fp=thin-removed
ID-8366 | topical=YES | strict=BORD | fp=ambiguous
ID-8367 | topical=NO | strict=NO | fp=theme-mismatch
ID-8368 | topical=YES | strict=YES | fp=-
ID-8369 | topical=YES | strict=YES | fp=-
ID-8370 | topical=NO | strict=NO | fp=non-ai-literal
ID-8371 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8372 | topical=YES | strict=BORD | fp=ambiguous
ID-8373 | topical=YES | strict=YES | fp=-
ID-8374 | topical=YES | strict=YES | fp=-
ID-8375 | topical=YES | strict=YES | fp=-
ID-8376 | topical=NO | strict=NO | fp=theme-mismatch
ID-8377 | topical=YES | strict=YES | fp=-
ID-8378 | topical=NO | strict=NO | fp=rp-internal
ID-8379 | topical=YES | strict=NO | fp=thin-removed
ID-8380 | topical=YES | strict=YES | fp=-
ID-8381 | topical=YES | strict=YES | fp=-
ID-8382 | topical=YES | strict=YES | fp=-
ID-8383 | topical=YES | strict=YES | fp=-
ID-8384 | topical=YES | strict=NO | fp=thin-removed
ID-8385 | topical=YES | strict=YES | fp=-
ID-8386 | topical=YES | strict=YES | fp=-
ID-8387 | topical=NO | strict=NO | fp=theme-mismatch
ID-8388 | topical=YES | strict=YES | fp=-
ID-8389 | topical=YES | strict=YES | fp=-
ID-8390 | topical=YES | strict=YES | fp=-
ID-8391 | topical=NO | strict=NO | fp=theme-mismatch
ID-8392 | topical=YES | strict=YES | fp=-
ID-8393 | topical=NO | strict=NO | fp=theme-mismatch
ID-8394 | topical=YES | strict=YES | fp=-
ID-8395 | topical=YES | strict=YES | fp=-
ID-8396 | topical=NO | strict=NO | fp=wrong-referent
ID-8397 | topical=YES | strict=YES | fp=-
ID-8398 | topical=YES | strict=YES | fp=-
ID-8399 | topical=YES | strict=YES | fp=-
