ID-8440 | topical=NO | strict=NO | fp=wrong-referent
ID-8441 | topical=YES | strict=YES | fp=-
ID-8442 | topical=NO | strict=NO | fp=theme-mismatch
ID-8443 | topical=YES | strict=YES | fp=-
ID-8444 | topical=NO | strict=NO | fp=theme-mismatch
ID-8445 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8446 | topical=YES | strict=YES | fp=-
ID-8447 | topical=YES | strict=YES | fp=-
ID-8448 | topical=NO | strict=NO | fp=non-ai-literal
ID-8449 | topical=YES | strict=YES | fp=-
ID-8450 | topical=YES | strict=YES | fp=-
ID-8451 | topical=YES | strict=YES | fp=-
ID-8452 | topical=NO | strict=NO | fp=bot-card
ID-8453 | topical=BORD | strict=NO | fp=thin-removed
ID-8454 | topical=YES | strict=YES | fp=-
ID-8455 | topical=YES | strict=YES | fp=-
ID-8456 | topical=YES | strict=YES | fp=-
ID-8457 | topical=NO | strict=NO | fp=theme-mismatch
ID-8458 | topical=NO | strict=NO | fp=theme-mismatch
ID-8459 | topical=BORD | strict=NO | fp=thin-removed
ID-8460 | topical=NO | strict=NO | fp=theme-mismatch
ID-8461 | topical=NO | strict=NO | fp=theme-mismatch
ID-8462 | topical=YES | strict=YES | fp=-
ID-8463 | topical=NO | strict=NO | fp=third-party
ID-8464 | topical=YES | strict=YES | fp=-
ID-8465 | topical=YES | strict=YES | fp=-
ID-8466 | topical=YES | strict=YES | fp=-
ID-8467 | topical=YES | strict=YES | fp=-
ID-8468 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8469 | topical=NO | strict=NO | fp=theme-mismatch
ID-8470 | topical=NO | strict=NO | fp=theme-mismatch
ID-8471 | topical=YES | strict=YES | fp=-
ID-8472 | topical=NO | strict=NO | fp=ironic-rejection
ID-8473 | topical=YES | strict=YES | fp=-
ID-8474 | topical=YES | strict=YES | fp=-
ID-8475 | topical=YES | strict=YES | fp=-
ID-8476 | topical=YES | strict=YES | fp=-
ID-8477 | topical=YES | strict=YES | fp=-
ID-8478 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8479 | topical=YES | strict=BORD | fp=theme-mismatch
