ID-8480 | topical=YES | strict=YES | fp=-
ID-8481 | topical=YES | strict=YES | fp=-
ID-8482 | topical=YES | strict=YES | fp=-
ID-8483 | topical=YES | strict=NO | fp=thin-removed
ID-8484 | topical=YES | strict=NO | fp=thin-removed
ID-8485 | topical=YES | strict=NO | fp=theme-mismatch
ID-8486 | topical=YES | strict=YES | fp=-
ID-8487 | topical=YES | strict=YES | fp=-
ID-8488 | topical=YES | strict=NO | fp=thin-removed
ID-8489 | topical=NO | strict=NO | fp=theme-mismatch
ID-8490 | topical=YES | strict=YES | fp=-
ID-8491 | topical=YES | strict=YES | fp=-
ID-8492 | topical=YES | strict=YES | fp=-
ID-8493 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8494 | topical=YES | strict=YES | fp=-
ID-8495 | topical=YES | strict=YES | fp=-
ID-8496 | topical=YES | strict=YES | fp=-
ID-8497 | topical=YES | strict=YES | fp=-
ID-8498 | topical=NO | strict=NO | fp=bot-card
ID-8499 | topical=YES | strict=NO | fp=theme-mismatch
ID-8500 | topical=YES | strict=YES | fp=-
ID-8501 | topical=YES | strict=YES | fp=-
ID-8502 | topical=NO | strict=NO | fp=theme-mismatch
ID-8503 | topical=YES | strict=YES | fp=-
ID-8504 | topical=YES | strict=YES | fp=-
ID-8505 | topical=YES | strict=YES | fp=-
ID-8506 | topical=NO | strict=NO | fp=theme-mismatch
ID-8507 | topical=YES | strict=YES | fp=-
ID-8508 | topical=YES | strict=YES | fp=-
ID-8509 | topical=YES | strict=YES | fp=-
ID-8510 | topical=YES | strict=YES | fp=-
ID-8511 | topical=YES | strict=NO | fp=third-party
ID-8512 | topical=NO | strict=NO | fp=non-ai-literal
ID-8513 | topical=YES | strict=YES | fp=-
ID-8514 | topical=YES | strict=YES | fp=-
ID-8515 | topical=YES | strict=YES | fp=-
ID-8516 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8517 | topical=YES | strict=YES | fp=-
ID-8518 | topical=YES | strict=NO | fp=thin-removed
ID-8519 | topical=YES | strict=YES | fp=-
