ID-5080 | topical=NO | strict=NO | fp=thin-removed
ID-5081 | topical=YES | strict=NO | fp=thin-removed
ID-5082 | topical=YES | strict=YES | fp=-
ID-5083 | topical=YES | strict=YES | fp=-
ID-5084 | topical=YES | strict=NO | fp=third-party
ID-5085 | topical=NO | strict=NO | fp=third-party
ID-5086 | topical=YES | strict=NO | fp=rp-internal
ID-5087 | topical=YES | strict=NO | fp=thin-removed
ID-5088 | topical=YES | strict=NO | fp=thin-removed
ID-5089 | topical=YES | strict=YES | fp=-
ID-5090 | topical=YES | strict=NO | fp=theme-mismatch
ID-5091 | topical=YES | strict=NO | fp=theme-mismatch
ID-5092 | topical=YES | strict=NO | fp=rp-internal
ID-5093 | topical=YES | strict=YES | fp=-
ID-5094 | topical=YES | strict=NO | fp=rp-internal
ID-5095 | topical=YES | strict=YES | fp=-
ID-5096 | topical=YES | strict=YES | fp=-
ID-5097 | topical=YES | strict=NO | fp=theme-mismatch
ID-5098 | topical=YES | strict=NO | fp=theme-mismatch
ID-5099 | topical=YES | strict=YES | fp=-
ID-5100 | topical=YES | strict=NO | fp=theme-mismatch
ID-5101 | topical=YES | strict=NO | fp=ironic-rejection
ID-5102 | topical=YES | strict=NO | fp=theme-mismatch
ID-5103 | topical=YES | strict=NO | fp=theme-mismatch
ID-5104 | topical=YES | strict=NO | fp=rp-internal
ID-5105 | topical=YES | strict=YES | fp=-
ID-5106 | topical=YES | strict=YES | fp=-
ID-5107 | topical=YES | strict=YES | fp=-
ID-5108 | topical=YES | strict=YES | fp=-
ID-5109 | topical=YES | strict=NO | fp=theme-mismatch
ID-5110 | topical=YES | strict=YES | fp=-
ID-5111 | topical=YES | strict=NO | fp=theme-mismatch
ID-5112 | topical=YES | strict=YES | fp=-
ID-5113 | topical=YES | strict=NO | fp=rp-internal
ID-5114 | topical=YES | strict=YES | fp=-
ID-5115 | topical=NO | strict=NO | fp=theme-mismatch
ID-5116 | topical=YES | strict=YES | fp=-
ID-5117 | topical=YES | strict=YES | fp=-
ID-5118 | topical=YES | strict=YES | fp=-
ID-5119 | topical=YES | strict=NO | fp=theme-mismatch
