ID-5200 | topical=NO | strict=NO | fp=rp-internal
ID-5201 | topical=YES | strict=YES | fp=-
ID-5202 | topical=YES | strict=NO | fp=thin-removed
ID-5203 | topical=YES | strict=NO | fp=thin-removed
ID-5204 | topical=YES | strict=NO | fp=third-party
ID-5205 | topical=YES | strict=YES | fp=-
ID-5206 | topical=BORD | strict=NO | fp=ambiguous
ID-5207 | topical=YES | strict=YES | fp=-
ID-5208 | topical=YES | strict=YES | fp=-
ID-5209 | topical=NO | strict=NO | fp=non-ai-literal
ID-5210 | topical=YES | strict=NO | fp=third-party
ID-5211 | topical=YES | strict=YES | fp=-
ID-5212 | topical=YES | strict=NO | fp=third-party
ID-5213 | topical=YES | strict=YES | fp=-
ID-5214 | topical=YES | strict=YES | fp=-
ID-5215 | topical=YES | strict=YES | fp=-
ID-5216 | topical=YES | strict=YES | fp=-
ID-5217 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5218 | topical=YES | strict=YES | fp=-
ID-5219 | topical=YES | strict=BORD | fp=third-party
ID-5220 | topical=YES | strict=NO | fp=third-party
ID-5221 | topical=YES | strict=YES | fp=-
ID-5222 | topical=YES | strict=NO | fp=thin-removed
ID-5223 | topical=YES | strict=NO | fp=thin-removed
ID-5224 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5225 | topical=YES | strict=YES | fp=-
ID-5226 | topical=YES | strict=YES | fp=-
ID-5227 | topical=YES | strict=YES | fp=-
ID-5228 | topical=YES | strict=NO | fp=thin-removed
ID-5229 | topical=YES | strict=NO | fp=third-party
ID-5230 | topical=NO | strict=NO | fp=theme-mismatch
ID-5231 | topical=YES | strict=YES | fp=-
ID-5232 | topical=YES | strict=BORD | fp=bot-card
ID-5233 | topical=YES | strict=NO | fp=wrong-referent
ID-5234 | topical=YES | strict=YES | fp=-
ID-5235 | topical=YES | strict=NO | fp=thin-removed
ID-5236 | topical=YES | strict=NO | fp=thin-removed
ID-5237 | topical=YES | strict=YES | fp=-
ID-5238 | topical=YES | strict=YES | fp=-
ID-5239 | topical=YES | strict=BORD | fp=theme-mismatch
