ID-5400 | topical=NO | strict=NO | fp=third-party
ID-5401 | topical=YES | strict=YES | fp=-
ID-5402 | topical=YES | strict=NO | fp=third-party
ID-5403 | topical=BORD | strict=NO | fp=non-ai-literal
ID-5404 | topical=YES | strict=YES | fp=-
ID-5405 | topical=YES | strict=NO | fp=theme-mismatch
ID-5406 | topical=YES | strict=YES | fp=-
ID-5407 | topical=NO | strict=NO | fp=theme-mismatch
ID-5408 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5409 | topical=NO | strict=NO | fp=rp-internal
ID-5410 | topical=NO | strict=NO | fp=rp-internal
ID-5411 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5412 | topical=NO | strict=NO | fp=theme-mismatch
ID-5413 | topical=YES | strict=NO | fp=third-party
ID-5414 | topical=YES | strict=YES | fp=-
ID-5415 | topical=NO | strict=NO | fp=thin-removed
ID-5416 | topical=YES | strict=NO | fp=thin-removed
ID-5417 | topical=NO | strict=NO | fp=rp-internal
ID-5418 | topical=YES | strict=YES | fp=-
ID-5419 | topical=YES | strict=YES | fp=-
ID-5420 | topical=YES | strict=YES | fp=-
ID-5421 | topical=NO | strict=NO | fp=rp-internal
ID-5422 | topical=YES | strict=YES | fp=-
ID-5423 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5424 | topical=YES | strict=YES | fp=-
ID-5425 | topical=NO | strict=NO | fp=bot-card
ID-5426 | topical=YES | strict=YES | fp=-
ID-5427 | topical=YES | strict=YES | fp=-
ID-5428 | topical=NO | strict=NO | fp=theme-mismatch
ID-5429 | topical=BORD | strict=NO | fp=non-ai-literal
ID-5430 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5431 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5432 | topical=YES | strict=YES | fp=-
ID-5433 | topical=YES | strict=YES | fp=-
ID-5434 | topical=YES | strict=YES | fp=-
ID-5435 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5436 | topical=YES | strict=NO | fp=thin-removed
ID-5437 | topical=YES | strict=BORD | fp=theme-mismatch
ID-5438 | topical=YES | strict=YES | fp=-
ID-5439 | topical=YES | strict=YES | fp=-
