theme,month,post_only_count,eligible_posts,rate_per_1k,rate_per_1k_charted,days_observed,coverage_start
romance,2022-12,9,4986,1.8051,1.8051,31,2022-12-01
romance,2023-01,24,10122,2.3711,2.3711,31,2022-12-01
romance,2023-02,39,12779,3.0519,3.0519,28,2022-12-01
romance,2023-03,29,8671,3.3445,3.3445,31,2022-12-01
romance,2023-04,23,12994,1.77,1.77,30,2022-12-01
romance,2023-05,63,20303,3.103,3.103,31,2022-12-01
romance,2023-06,51,16753,3.0442,3.0442,30,2022-12-01
romance,2023-07,72,30434,2.3658,2.3658,31,2022-12-01
romance,2023-08,41,22907,1.7898,1.7898,31,2022-12-01
romance,2023-09,50,15885,3.1476,3.1476,30,2022-12-01
romance,2023-10,52,19029,2.7327,2.7327,31,2022-12-01
romance,2023-11,35,23565,1.4853,1.4853,30,2022-12-01
romance,2023-12,54,25125,2.1493,2.1493,31,2022-12-01
romance,2024-01,39,17001,2.294,2.294,31,2022-12-01
romance,2024-02,29,12925,2.2437,2.2437,29,2022-12-01
romance,2024-03,34,17548,1.9375,1.9375,31,2022-12-01
romance,2024-04,25,16681,1.4987,1.4987,30,2022-12-01
romance,2024-05,38,16896,2.2491,2.2491,31,2022-12-01
romance,2024-06,50,36717,1.3618,1.3618,30,2022-12-01
romance,2024-07,21,20891,1.0052,1.0052,31,2022-12-01
romance,2024-08,29,28739,1.0091,1.0091,31,2022-12-01
romance,2024-09,38,24454,1.5539,1.5539,30,2022-12-01
romance,2024-10,33,21429,1.54,1.54,31,2022-12-01
romance,2024-11,32,23462,1.3639,1.3639,30,2022-12-01
romance,2024-12,37,26389,1.4021,1.4021,31,2022-12-01
romance,2025-01,43,26619,1.6154,1.6154,31,2022-12-01
romance,2025-02,27,15567,1.7344,1.7344,28,2022-12-01
romance,2025-03,42,15137,2.7747,2.7747,31,2022-12-01
romance,2025-04,36,18673,1.9279,1.9279,30,2022-12-01
romance,2025-05,60,14654,4.0944,4.0944,31,2022-12-01
romance,2025-06,70,18848,3.7139,3.7139,30,2022-12-01
romance,2025-07,85,19174,4.4331,4.4331,31,2022-12-01
romance,2025-08,108,16688,6.4717,6.4717,31,2022-12-01
romance,2025-09,78,12663,6.1597,6.1597,30,2022-12-01
romance,2025-10,60,14828,4.0464,4.0464,31,2022-12-01
romance,2025-11,55,12250,4.4898,4.4898,30,2022-12-01
romance,2025-12,51,11655,4.3758,4.3758,31,2022-12-01
romance,2026-01,63,11854,5.3147,5.3147,31,2022-12-01
romance,2026-02,73,16824,4.339,4.339,28,2022-12-01
romance,2026-03,64,15245,4.1981,4.1981,31,2022-12-01
romance,2026-04,53,12822,4.1335,4.1335,30,2022-12-01
romance,2026-05,67,16060,4.1719,4.1719,31,2022-12-01
romance,2026-06,80,11989,6.6728,6.6728,30,2022-12-01
romance,2026-07,52,9380,5.5437,5.5437,31,2022-12-01
romance,2026-08,72,9777,7.3642,7.3642,31,2022-12-01
sexual_erp,2022-08,5,2578,1.9395,1.9395,31,2022-08-01
sexual_erp,2022-09,6,2235,2.6846,2.6846,30,2022-08-01
sexual_erp,2022-10,25,3051,8.194,8.194,31,2022-08-01
sexual_erp,2022-11,9,2844,3.1646,3.1646,30,2022-08-01
sexual_erp,2022-12,15,4986,3.0084,3.0084,31,2022-08-01
sexual_erp,2023-01,23,10122,2.2723,2.2723,31,2022-08-01
sexual_erp,2023-02,1525,12779,119.3364,119.3364,28,2022-08-01
sexual_erp,2023-03,532,8671,61.3539,61.3539,31,2022-08-01
sexual_erp,2023-04,318,12994,24.4728,24.4728,30,2022-08-01
sexual_erp,2023-05,254,20303,12.5105,12.5105,31,2022-08-01
sexual_erp,2023-06,248,16753,14.8033,14.8033,30,2022-08-01
sexual_erp,2023-07,161,30434,5.2901,5.2901,31,2022-08-01
sexual_erp,2023-08,135,22907,5.8934,5.8934,31,2022-08-01
sexual_erp,2023-09,129,15885,8.1209,8.1209,30,2022-08-01
sexual_erp,2023-10,96,19029,5.0449,5.0449,31,2022-08-01
sexual_erp,2023-11,99,23565,4.2011,4.2011,30,2022-08-01
